,SRR24916250,SRR24916251,SRR24916252,SRR24916253,SRR24916254,SRR24916255,SRR24916256,SRR24916257,SRR24916258,SRR24916259
Lactobacillus,0.23,0.39,0.58,0.99,22.87,0.38,0.31,0.76,0.01,0.06
Amylolactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Holzapfeliella,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Xylocopilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bombilactobacillus,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Companilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lapidilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Agrilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Schleiferilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lacticaseibacillus,3.96,12.02,0.63,2.79,2.11,4.99,7.45,4.04,0.21,2.72
Paralactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Latilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Loigolactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dellaglioa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Liquorilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ligilactobacillus,0.05,0.35,0.10,0.36,0.11,0.26,0.31,0.00,0.02,0.06
Pediococcus,21.47,24.45,5.18,7.01,0.95,7.04,18.79,1.51,0.00,0.00
Lactiplantibacillus,0.05,0.03,0.89,0.18,0.00,0.51,0.31,0.13,0.45,0.06
Fructilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Acetilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philodulcilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Nicoliella,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Apilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lentilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Secundilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Levilactobacillus,0.05,0.00,0.31,0.00,0.11,0.00,22.05,0.76,98.39,13.62
Paucilactobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Limosilactobacillus,0.09,0.26,0.00,0.09,0.21,0.13,0.62,0.25,0.01,0.00
Furfurilactobacillus,46.02,50.45,85.94,68.35,62.17,69.40,30.43,82.22,0.31,74.02
Periweissella,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Weissella,28.09,12.05,6.06,20.23,11.49,17.29,19.72,10.34,0.59,9.44
Oenococcus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eupransor,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Convivina,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fructobacillus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Leuconostoc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
